day,gross_equity_end,net_equity_end,mean_abs_inventory,max_abs_inventory,near_limit_share,max_drawdown,gross_pnl,net_pnl,fill_count,buy_fills,sell_fills,passive_fills,taker_fills,turnover,forced_flat_turnover,avg_edge_per_fill,avg_signed_mid_move_1,avg_signed_mid_move_5,avg_signed_mid_move_10,fill_rate,attempts_per_day
-2,3456.75,3451.5,6.685375,16.5,0.0366,278.75,3456.75,3451.5,438.0,208.0,230.0,437.0,1.0,1464.0,10.5,2.7665274598155607,-3.0479876160990713,-2.6597867217062263,-2.844857241142071,0.028524457159937656,15612.333333333334
-1,6633.25,6627.125,7.1094,16.5,0.0197,278.75,3176.5,3175.625,451.0,221.0,230.0,450.0,1.0,1506.0,1.75,2.5002642062865994,-3.268821671929533,-2.9577862722286854,-3.033571547282699,0.028524457159937656,15612.333333333334
0,9703.5,9695.625,7.8161,16.75,0.0682,251.375,3070.25,3068.5,447.0,222.0,225.0,446.0,1.0,1564.5,3.5,2.4782217527417303,-3.3212684176809737,-2.9349775784753365,-2.9891896220371557,0.028524457159937656,15612.333333333334
