day,gross_equity_end,net_equity_end,mean_abs_inventory,max_abs_inventory,near_limit_share,max_drawdown,gross_pnl,net_pnl,fill_count,buy_fills,sell_fills,passive_fills,taker_fills,turnover,forced_flat_turnover,avg_edge_per_fill,avg_signed_mid_move_1,avg_signed_mid_move_5,avg_signed_mid_move_10,fill_rate,attempts_per_day
-2,3573.5,3568.25,6.691075,16.25,0.0152,278.75,3573.5,3568.25,440.0,208.0,232.0,439.0,1.0,1464.0,10.5,2.816134961041858,-3.0190058479532165,-2.638372893016856,-2.82249742002064,0.028368045287482574,15780.666666666666
-1,6764.5,6758.375,7.5315,16.5,0.0458,278.75,3191.0,3190.125,453.0,223.0,230.0,452.0,1.0,1526.0,1.75,2.431798797468764,-3.274315237001804,-2.9698212235525667,-3.0177956371986223,0.028368045287482574,15780.666666666666
0,9749.25,9740.5,7.93455,16.75,0.1003,243.75,2984.75,2982.125,450.0,224.0,226.0,449.0,1.0,1590.5,5.25,2.458489033579394,-3.360037848919729,-2.9815486516322345,-3.0227093518372494,0.028368045287482574,15780.666666666666
