day,gross_equity_end,net_equity_end,mean_abs_inventory,max_abs_inventory,near_limit_share,max_drawdown,gross_pnl,net_pnl,fill_count,buy_fills,sell_fills,passive_fills,taker_fills,turnover,forced_flat_turnover,avg_edge_per_fill,avg_signed_mid_move_1,avg_signed_mid_move_5,avg_signed_mid_move_10,fill_rate,attempts_per_day
-2,1369.0,1359.5,11.64575,22.0,0.0,385.0,1369.0,1359.5,89.0,42.0,47.0,88.0,1.0,196.0,9.5,6.707245592431105,-0.613941018766756,-0.3284182305630027,-0.6501340482573726,0.0056338592938629025,16625.666666666668
-1,2640.0,2621.5,5.30045,16.0,0.0,255.5,1271.0,1262.0,94.0,47.0,47.0,92.0,2.0,207.0,7.0,5.8866001206960155,-1.1575,-1.075,-1.28375,0.0056338592938629025,16625.666666666668
0,3695.0,3658.0,6.359,16.5,0.0,269.25,1055.0,1036.5,98.0,49.0,49.0,96.0,2.0,225.0,16.5,5.696767237902608,-0.6738609112709832,-0.4988009592326139,-0.5251798561151079,0.0056338592938629025,16625.666666666668
