day,gross_equity_end,net_equity_end,mean_abs_inventory,max_abs_inventory,near_limit_share,max_drawdown,gross_pnl,net_pnl,fill_count,buy_fills,sell_fills,passive_fills,taker_fills,turnover,forced_flat_turnover,avg_edge_per_fill,avg_signed_mid_move_1,avg_signed_mid_move_5,avg_signed_mid_move_10,fill_rate,attempts_per_day
-2,3710.5,3702.125,9.1096,29.25,0.0,409.5,3710.5,3702.125,443.0,206.0,237.0,442.0,1.0,1704.0,16.75,2.677117315251344,-3.162394428804267,-2.7598162690769,-2.9684397688546453,0.02832353063863513,15982.0
-1,7061.25,7050.125,9.429775,24.75,0.0,387.125,3350.75,3348.0,458.0,221.0,237.0,456.0,2.0,1786.0,3.5,2.3871588330427245,-3.416900420757363,-3.0692847124824683,-3.1556802244039273,0.02832353063863513,15982.0
0,10350.0,10332.5,10.7192,31.5,0.0,470.25,3288.75,3282.375,457.0,229.0,228.0,455.0,2.0,1858.0,10.75,2.3389767400038295,-3.395317363648667,-3.0098795506834484,-3.0560969007984844,0.02832353063863513,15982.0
