day,gross_equity_end,net_equity_end,mean_abs_inventory,max_abs_inventory,near_limit_share,max_drawdown,gross_pnl,net_pnl,fill_count,buy_fills,sell_fills,passive_fills,taker_fills,turnover,forced_flat_turnover,avg_edge_per_fill,avg_signed_mid_move_1,avg_signed_mid_move_5,avg_signed_mid_move_10,fill_rate,attempts_per_day
-2,1191.0,1183.0,8.52505,14.5,0.0,226.75,1191.0,1183.0,87.0,41.0,46.0,86.0,1.0,180.0,8.0,6.963260376833755,-0.6497093023255814,-0.5305232558139535,-0.6511627906976745,0.005695093457943925,15978.666666666666
-1,2426.0,2415.0,4.559,13.0,0.0,214.25,1235.0,1232.0,91.0,45.0,46.0,90.0,1.0,191.0,3.0,6.527478374702849,-1.226063829787234,-1.1090425531914894,-1.336436170212766,0.005695093457943925,15978.666666666666
0,3521.0,3496.0,5.27455,14.0,0.0,224.0,1095.0,1081.0,95.0,47.0,48.0,94.0,1.0,215.0,14.0,6.339840273632936,-0.6268656716417911,-0.4552238805970149,-0.4925373134328358,0.005695093457943925,15978.666666666666
