day,gross_equity_end,net_equity_end,mean_abs_inventory,max_abs_inventory,near_limit_share,max_drawdown,gross_pnl,net_pnl,fill_count,buy_fills,sell_fills,passive_fills,taker_fills,turnover,forced_flat_turnover,avg_edge_per_fill,avg_signed_mid_move_1,avg_signed_mid_move_5,avg_signed_mid_move_10,fill_rate,attempts_per_day
-2,3741.25,3733.625,9.1391,27.5,0.0,385.0,3741.25,3733.625,440.0,203.0,237.0,439.0,1.0,1681.0,15.25,2.6924296556860265,-3.1363499924958727,-2.7318024913702534,-2.976587122917605,0.028422139350652086,15821.0
-1,7038.5,7028.375,10.0144,25.5,0.0,366.375,3297.25,3294.75,456.0,221.0,235.0,455.0,1.0,1773.5,5.0,2.4035971986205427,-3.419211195928753,-3.0994486853265477,-3.151046084252191,0.028422139350652086,15821.0
0,10262.75,10246.75,10.801475,32.5,0.0,486.25,3224.25,3218.375,453.0,226.0,227.0,452.0,1.0,1847.0,11.75,2.3776710946276847,-3.4081187849066885,-3.0166189892385233,-3.0517640648413025,0.028422139350652086,15821.0
