day,gross_equity_end,net_equity_end,mean_abs_inventory,max_abs_inventory,near_limit_share,max_drawdown,gross_pnl,net_pnl,fill_count,buy_fills,sell_fills,passive_fills,taker_fills,turnover,forced_flat_turnover,avg_edge_per_fill,avg_signed_mid_move_1,avg_signed_mid_move_5,avg_signed_mid_move_10,fill_rate,attempts_per_day
-2,1174.0,1165.5,8.87735,15.0,0.0327,228.0,1174.0,1165.5,88.0,42.0,46.0,87.0,1.0,181.0,8.5,6.6284054318085,-0.6884057971014492,-0.5478260869565217,-0.6565217391304348,0.005531466547797544,16451.333333333332
-1,2409.0,2397.5,4.559,13.0,0.0,228.0,1235.0,1232.0,91.0,45.0,46.0,90.0,1.0,191.0,3.0,6.245541201927982,-1.226063829787234,-1.1090425531914894,-1.336436170212766,0.005531466547797544,16451.333333333332
0,3423.0,3397.0,5.76455,14.5,0.0,268.5,1014.0,999.5,94.0,47.0,47.0,93.0,1.0,212.0,14.5,5.860430587373697,-0.7278481012658228,-0.5101265822784811,-0.5721518987341773,0.005531466547797544,16451.333333333332
