day,gross_equity_end,net_equity_end,mean_abs_inventory,max_abs_inventory,near_limit_share,max_drawdown,gross_pnl,net_pnl,fill_count,buy_fills,sell_fills,passive_fills,taker_fills,turnover,forced_flat_turnover,avg_edge_per_fill,avg_signed_mid_move_1,avg_signed_mid_move_5,avg_signed_mid_move_10,fill_rate,attempts_per_day
-2,1369.0,1359.5,11.64575,22.0,0.0,385.0,1369.0,1359.5,89.0,42.0,47.0,88.0,1.0,196.0,9.5,6.707245592431105,-0.613941018766756,-0.3284182305630027,-0.6501340482573726,0.00558513832726108,16651.333333333332
-1,2658.0,2643.5,5.43385,16.0,0.0,255.5,1289.0,1284.0,93.0,46.0,47.0,92.0,1.0,203.0,5.0,6.173184049115133,-1.1691919191919191,-1.0909090909090908,-1.2512626262626263,0.00558513832726108,16651.333333333332
0,3697.0,3664.0,6.0528,18.5,0.0,306.25,1039.0,1020.5,97.0,48.0,49.0,96.0,1.0,225.0,18.5,5.611891817027123,-0.6949152542372882,-0.513317191283293,-0.549636803874092,0.00558513832726108,16651.333333333332
