BASE_K,MIN_SIGMA,LINEAR_WINDOW,MAX_AGGRESSION,INVENTORY_SKEW,days,total_pnl,mean_daily_pnl,simple_sharpe_mean,max_drawdown,submitted_buy_orders,submitted_sell_orders,submitted_orders,realized_buy_fills,realized_sell_fills,realized_fills,signal_buy_ticks,signal_sell_ticks,signal_neutral_ticks,final_position_sum,max_abs_position,avg_abs_position,fill_rate,score,stage,combo_index,elapsed_seconds
2.0,0.75,10,2,0.6,"-2,-1,0",58525.0,19508.333333333332,0.05828787150209918,270.0,337,0,337,12,0,12,29352,18,630,60,20,19.430333333333333,0.03560830860534125,58417.5,stage2_targeted,55,5.686048700001265
2.0,0.75,10,2,0.25,"-2,-1,0",58470.0,19490.0,0.05826283623245693,270.0,370,4,374,13,1,14,29260,22,718,60,20,19.415166666666668,0.0374331550802139,58362.5,stage2_targeted,53,5.160137999999279
2.0,0.5,10,3,0.1,"-2,-1,0",58460.0,19486.666666666668,0.060249266849357476,260.0,2526,140,2666,83,71,154,27436,157,2407,60,20,18.67983333333333,0.05776444111027757,58355.0,stage2_targeted,37,5.242023999999219
2.0,1.25,40,2,0.6,"-2,-1,0",58460.0,19486.666666666668,0.05824149056621386,270.0,315,1,316,12,0,12,29299,19,682,60,20,19.409333333333333,0.0379746835443038,58352.5,stage2_targeted,75,7.611664699999892
2.0,1.25,40,2,0.4,"-2,-1,0",58415.0,19471.666666666668,0.05821089997109996,270.0,355,6,361,13,1,14,29184,24,792,60,20,19.396666666666665,0.038781163434903045,58307.5,stage2_targeted,74,6.211432000000059
2.0,1.25,40,2,0.25,"-2,-1,0",58305.0,19435.0,0.05820774117382971,270.0,361,72,433,19,7,26,28557,92,1351,60,20,19.343333333333334,0.06004618937644342,58197.5,stage2_targeted,73,5.997470099999191
2.0,1.0,10,2,0.4,"-2,-1,0",58270.0,19423.333333333332,0.058110908285140234,270.0,282,1,283,12,0,12,29184,16,800,60,20,19.34283333333333,0.04240282685512368,58162.5,stage2_targeted,94,4.328280600000653
2.0,1.0,10,2,0.6,"-2,-1,0",58270.0,19423.333333333332,0.058110908285140234,270.0,291,0,291,12,0,12,29199,15,786,60,20,19.34283333333333,0.041237113402061855,58162.5,stage2_targeted,95,4.24283800000012
2.0,1.0,10,2,0.25,"-2,-1,0",58145.0,19381.666666666668,0.05804666545309939,270.0,379,4,383,13,1,14,29090,19,891,60,20,19.30366666666667,0.03655352480417755,58037.5,stage2_targeted,93,4.33997780000027
2.0,0.75,10,3,0.1,"-2,-1,0",58025.0,19341.666666666668,0.05990138120111645,260.0,2204,130,2334,79,67,146,27052,151,2797,60,20,18.567666666666668,0.06255355612682091,57920.0,stage2_targeted,57,4.602861100000155
2.0,1.0,10,3,0.1,"-2,-1,0",57790.0,19263.333333333332,0.05900483241691105,260.0,1562,101,1663,60,48,108,26868,121,3011,60,20,18.733,0.06494287432351173,57685.0,stage2_targeted,97,3.9965904999990016
2.0,0.25,10,1,0.4,"-2,-1,0",53340.0,17780.0,0.05568653721247333,270.0,1647,1,1648,12,0,12,27675,84,2241,60,20,17.680666666666664,0.007281553398058253,53232.5,stage2_targeted,9,5.0163076000008004
2.0,0.25,10,1,0.6,"-2,-1,0",53340.0,17780.0,0.05568653721247333,270.0,1670,0,1670,12,0,12,27704,83,2213,60,20,17.680666666666664,0.00718562874251497,53232.5,stage2_targeted,10,4.950763400000142
