day,gross_equity_end,net_equity_end,mean_abs_inventory,max_abs_inventory,near_limit_share,max_drawdown,gross_pnl,net_pnl,fill_count,buy_fills,sell_fills,passive_fills,taker_fills,turnover,forced_flat_turnover,avg_edge_per_fill,avg_signed_mid_move_1,avg_signed_mid_move_5,avg_signed_mid_move_10,fill_rate,attempts_per_day
-2,1201.0,1192.0,9.78375,15.0,0.07,262.5,1201.0,1192.0,90.0,43.0,47.0,89.0,1.0,182.0,9.0,6.580635233780318,-0.6040462427745664,-0.3713872832369942,-0.588150289017341,0.005649717514124294,16343.0
-1,2416.0,2404.0,4.7297,13.0,0.0,241.75,1215.0,1212.0,91.0,45.0,46.0,90.0,1.0,191.0,3.0,6.166719533695635,-1.1928191489361701,-1.0757978723404256,-1.2965425531914894,0.005649717514124294,16343.0
0,3502.5,3478.5,6.3829,13.0,0.0,215.0,1086.5,1074.5,96.0,48.0,48.0,95.0,1.0,213.0,12.0,6.183412359584542,-0.7201492537313433,-0.4937810945273632,-0.5447761194029851,0.005649717514124294,16343.0
