day,gross_equity_end,net_equity_end,mean_abs_inventory,max_abs_inventory,near_limit_share,max_drawdown,gross_pnl,net_pnl,fill_count,buy_fills,sell_fills,passive_fills,taker_fills,turnover,forced_flat_turnover,avg_edge_per_fill,avg_signed_mid_move_1,avg_signed_mid_move_5,avg_signed_mid_move_10,fill_rate,attempts_per_day
-2,3774.0,3767.5,9.46905,26.5,0.0,371.0,3774.0,3767.5,442.0,203.0,239.0,441.0,1.0,1679.5,13.0,2.6934630205226755,-3.1595409540954096,-2.7501500150015,-2.976972697269727,0.028639618138424822,15782.333333333334
-1,7055.75,7046.875,9.544125,23.5,0.0,351.75,3281.75,3279.375,459.0,223.0,236.0,458.0,1.0,1769.5,4.75,2.3917378730707073,-3.416489587760306,-3.1032724181895452,-3.1440005666525,0.028639618138424822,15782.333333333334
0,10267.5,10255.375,10.953225,27.25,0.0,436.0,3211.75,3208.5,455.0,229.0,226.0,454.0,1.0,1841.0,6.5,2.3715359016521824,-3.411488143908422,-3.0264377214499865,-3.0643908421913326,0.028639618138424822,15782.333333333334
