day,gross_equity_end,net_equity_end,mean_abs_inventory,max_abs_inventory,near_limit_share,max_drawdown,gross_pnl,net_pnl,fill_count,buy_fills,sell_fills,passive_fills,taker_fills,turnover,forced_flat_turnover,avg_edge_per_fill,avg_signed_mid_move_1,avg_signed_mid_move_5,avg_signed_mid_move_10,fill_rate,attempts_per_day
-2,1356.5,1345.0,11.20805,20.0,0.0,350.0,1356.5,1345.0,90.0,43.0,47.0,89.0,1.0,200.0,11.5,6.514454018336574,-0.603448275862069,-0.2838196286472148,-0.6671087533156499,0.005592795994185108,16509.333333333332
-1,2637.0,2621.0,5.53145,16.0,0.0,310.5,1280.5,1276.0,91.0,45.0,46.0,90.0,1.0,198.0,4.5,6.315125865113145,-1.144702842377261,-1.082687338501292,-1.2248062015503876,0.005592795994185108,16509.333333333332
0,3616.0,3579.0,6.50005,21.0,0.0,352.5,979.0,958.0,96.0,47.0,49.0,95.0,1.0,225.0,21.0,5.32026391005036,-0.6911764705882353,-0.47671568627450983,-0.5563725490196079,0.005592795994185108,16509.333333333332
