day,gross_equity_end,net_equity_end,mean_abs_inventory,max_abs_inventory,near_limit_share,max_drawdown,gross_pnl,net_pnl,fill_count,buy_fills,sell_fills,passive_fills,taker_fills,turnover,forced_flat_turnover,avg_edge_per_fill,avg_signed_mid_move_1,avg_signed_mid_move_5,avg_signed_mid_move_10,fill_rate,attempts_per_day
-2,3710.5,3702.125,9.1096,29.25,0.0,409.5,3710.5,3702.125,443.0,206.0,237.0,442.0,1.0,1704.0,16.75,2.677117315251344,-3.162394428804267,-2.7598162690769,-2.9684397688546453,0.02845086898395722,15957.333333333334
-1,7079.0,7068.25,9.494875,24.75,0.0,387.125,3368.5,3366.125,461.0,222.0,239.0,460.0,1.0,1797.0,4.75,2.417559404569798,-3.408494908634398,-3.0703724368810157,-3.137536615985493,0.02845086898395722,15957.333333333334
0,10413.0,10397.0,10.92225,31.25,0.0,466.25,3334.0,3328.75,458.0,229.0,229.0,457.0,1.0,1868.5,10.5,2.3765371443596917,-3.4253229278794404,-3.013791711517761,-3.0567814854682456,0.02845086898395722,15957.333333333334
